Theta1,Theta2,Theta3,U,V,R,X,Y,Z
30,105,70,106,72,12,209.6,34.4,243.6
30,105,75,,,,,,
30,110,50,136,154,12,141.3,9.4,243.6
30,110,55,130,144,12,149.6,14.4,243.6
30,110,60,108,70,10,219.5,39.2,194.4
30,110,65,106,66,11,218.6,37.5,221.2
30,110,70,104,60,12,219.6,36.0,243.6
30,110,75,,,,,,
30,115,50,134,136,12,156.3,11.0,243.6
30,115,55,112,64,11,220.4,32.0,221.2
30,115,60,108,60,12,219.6,32.7,243.6
30,115,65,106,54,13,220.4,31.7,262.6
30,115,70,122,124,13,166.5,19.4,262.6
30,115,75,,,,,,
30,120,50,134,128,12,162.9,11.0,243.6
30,120,55,128,120,11,169.6,17.5,221.2
30,120,60,106,50,12,227.9,34.4,243.6
30,120,65,,,,,,
30,120,70,124,112,17,174.4,13.7,316.1
30,120,75,120,112,14,175.4,19.5,278.8
30,125,50,112,58,11,225.9,32.0,221.2
30,125,55,,,,,,
30,125,60,,,,,,
30,125,65,126,112,11,176.8,19.3,221.2
30,125,70,,,,,,
30,125,75,120,98,17,182.6,16.0,316.1
30,130,50,,,,,,
30,130,55,128,100,14,183.9,13.8,278.8
30,130,60,,,,,,
30,130,65,120,94,17,185.0,16.0,316.1
30,130,70,,,,,,
30,130,75,,,,,,
30,135,50,,,,,,
30,135,55,,,,,,
30,135,60,,,,,,
30,135,65,,,,,,
30,135,70,,,,,,
30,135,75,,,,,,
30,140,50,122,88,13,194.2,19.4,262.6
30,140,55,158,200,11,96.9,-9.8,221.2
30,140,60,116,72,11,213.2,28.4,221.2
30,140,65,,,,,,
30,140,70,,,,,,
30,140,75,,,,,,
30,145,50,122,78,12,204.6,21.0,243.6
30,145,55,120,66,15,205.7,18.2,292.9
30,145,60,,,,,,
30,145,65,,,,,,
30,145,70,,,,,,
30,145,75,,,,,,
30,150,50,126,202,18,124.2,11.8,325.8
30,150,55,,,,,,
30,150,60,,,,,,
30,150,65,,,,,,
30,150,70,,,,,,
30,150,75,,,,,,
30,155,50,,,,,,
30,155,55,120,60,12,219.6,22.7,243.6
30,155,60,128,192,19,131.9,10.1,334.4
30,155,65,116,52,12,226.2,26.0,243.6
30,155,70,116,50,11,233.2,28.4,221.2
30,155,75,,,,,,
35,90,50,156,198,14,114.0,-6.2,278.8
35,90,55,,,,,,
35,90,60,130,112,11,176.8,15.7,221.2
35,90,65,128,108,12,179.6,16.0,243.6
35,90,70,126,104,12,182.9,17.7,243.6
35,90,75,124,102,12,184.6,19.4,243.6
35,95,50,152,194,14,116.8,-3.4,278.8
35,95,55,150,190,11,105.9,-2.5,221.2
35,95,60,128,104,12,182.9,16.0,243.6
35,95,65,128,100,11,187.7,17.5,221.2
35,95,70,126,98,12,187.9,17.7,243.6
